Name;Type;City;Country;Latitude;Longitude;Capacity;Commodity
Bunge Decatur, Al;Crushing Plant, Refinery;Decatur, Al;United States;34,605;-86,983;300,000 MT;Vegetable Oil
Bunge Delphos, Oh;Crushing Plant;Delphos, Oh;United States;40,842;-84,339;50,000 MT;Vegetable Oil
Bunge Destrehan, La;Crushing Plant;Destrehan, La;United States;29,958;-90,37;1,000,000 MT;Vegetable Oil
Bunge Dixon, Sk;Crushing Plant;Dixon, Sk;Canada;53,3;-104,0;500,000 MT;Vegetable Oil
Bunge Edmonton;Refinery;Edmonton;Canada;53,546;-113,494;500,000 MT;Vegetable Oil
Bunge Emporia, Ks;Crushing Plant;Emporia, Ks;United States;38,405;-96,181;250,000 MT;Vegetable Oil
Bunge Fort Saskatchewan, Ab;Crushing Plant;Fort Saskatchewan, Ab;Canada;53,712;-113,215;300,000 MT;Vegetable Oil
Bunge Hamilton, On;Crushing Plant, Refinery;Hamilton, On;Canada;43,255;-79,871;150,000 MT;Vegetable Oil
Bunge Harrowby, Mb;Crushing Plant;Harrowby, Mb;Canada;50,019;-101,236;500,000 MT;Vegetable Oil
Bunge Kearny, Nj;Crushing Plant;Kearny, Nj;United States;40,751;-74,119;100,000 MT;Vegetable Oil
Bunge Indianapolis, In;Crushing Plant;Indianapolis, In;United States;39,768;-86,158;150,000 MT;Vegetable Oil
Bunge Morristown, In;Crushing Plant, Refinery;Morristown, In;United States;39,673;-85,698;1,200,000 MT;Vegetable Oil
Bunge Nipawin, Sk;Crushing Plant, Refinery;Nipawin, Sk;Canada;53,355;-104,009;240,000 MT;Vegetable Oil
Bunge Wainwright, Ab;Crushing Plant;Wainwright, Ab;Canada;52,836;-110,857;500,000 MT;Vegetable Oil
Bunge Amsterdam;Refinery;Amsterdam;Netherlands;52,367;4,904;500,000 MT;Vegetable Oil
Bunge Bilbao;Refinery;Bilbao;Spain;43,263;-2,935;500,000 MT;Vegetable Oil
Bunge Cartagena;Refinery;Cartagena;Spain;37,625;-0,996;500,000 MT;Vegetable Oil
Bunge Barcelona;Refinery;Barcelona;Spain;41,385;2,173;500,000 MT;Vegetable Oil
Bunge Ravenna;Refinery;Ravenna;Italy;44,418;12,203;500,000 MT;Vegetable Oil
Bunge Mannheim;Refinery;Mannheim;Germany;49,488;8,469;500,000 MT;Vegetable Oil
Bunge Neuss;Refinery;Neuss;Germany;51,204;6,687;500,000 MT;Vegetable Oil
Bunge Kruszwica;Crushing Plant, Refinery;Kruszwica;Poland;52,677;18,334;500,000 MT;Vegetable Oil
Bunge Brzeg;Crushing Plant;Brzeg;Poland;50,852;17,467;500,000 MT;Vegetable Oil
Bunge Bruck;Crushing Plant;Bruck An Der Leitha;Austria;48,022;16,779;500,000 MT;Vegetable Oil
Bunge Tatabanya;Refinery;Tatabánya;Hungary;47,551;18,433;500,000 MT;Vegetable Oil
Bunge Martfu;Crushing Plant, Refinery;Martf?;Hungary;47,0;20,283;500,000 MT;Vegetable Oil
Bunge Voronezh;Crushing Plant;Voronezh;Russia;51,661;39,2;500,000 MT;Vegetable Oil
Bunge Buzau;Crushing Plant;Buz?U;Romania;45,15;26,817;500,000 MT;Vegetable Oil
Bunge Lehliu;Refinery;Lehliu;Romania;44,438;26,85;500,000 MT;Vegetable Oil
Bunge Thrace;Crushing Plant;Thrace;Bulgaria;41,667;25,5;500,000 MT;Vegetable Oil
Bunge Izmir;Crushing Plant, Refinery;Izmir;Turkey;38,423;27,142;500,000 MT;Vegetable Oil
Bunge Kandla;Refinery;Kandla;India;23,03;70,247;500,000 MT;Vegetable Oil
Bunge Rajpura;Refinery;Rajpura;India;30,484;76,594;500,000 MT;Vegetable Oil
Bunge Tiruchirappalli;Refinery;Tiruchirappalli;India;10,79;78,704;500,000 MT;Vegetable Oil
Bunge Pasir Gudang;Refinery;Pasir Gudang;Malaysia;1,45;103,881;500,000 MT;Vegetable Oil
Bunge Phu My;Crushing Plant, Refinery;Phu My;Vietnam;10,585;107,025;500,000 MT;Vegetable Oil
Bunge Dongguan;Refinery;Dongguan;China;23,047;113,749;500,000 MT;Vegetable Oil
Bunge Tianjin;Refinery;Tianjin;China;39,343;117,361;500,000 MT;Vegetable Oil
Bunge Rizhao;Crushing Plant, Refinery;Rizhao;China;35,4;119,533;500,000 MT;Vegetable Oil
Bunge Xiamen;Refinery;Xiamen;China;24,479;118,089;500,000 MT;Vegetable Oil
Bunge Taixing;Refinery;Taixing;China;32,168;120,013;500,000 MT;Vegetable Oil
Bunge Gaspar;Refinery;Gaspar;Brazil;-26,933;-48,958;500,000 MT;Vegetable Oil
Bunge Jaguare;Refinery;Jaguare;Brazil;-23,498;-46,778;500,000 MT;Vegetable Oil
Bunge Suape;Refinery;Suape;Brazil;-8,373;-34,96;500,000 MT;Vegetable Oil
Bunge Uruçui;Crushing Plant;Uruçui;Brazil;-7,229;-44,557;500,000 MT;Vegetable Oil
Bunge Luis Eduardo Magalhaes;Crushing Plant;Luis Eduardo Magalhaes;Brazil;-12,095;-45,787;500,000 MT;Vegetable Oil
Bunge Luziania;Crushing Plant;Luziania;Brazil;-16,253;-47,95;500,000 MT;Vegetable Oil
Bunge Nova Mutum;Crushing Plant;Nova Mutum;Brazil;-13,821;-56,093;500,000 MT;Vegetable Oil
Bunge Rondonopolis;Crushing Plant;Rondonópolis;Brazil;-16,478;-54,638;500,000 MT;Vegetable Oil
Bunge Ponta Grossa;Crushing Plant;Ponta Grossa;Brazil;-25,092;-50,161;500,000 MT;Vegetable Oil
Bunge Villeta;Crushing Plant;Villeta;Paraguay;-25,5;-57,626;500,000 MT;Vegetable Oil
Bunge Rio Grande;Crushing Plant;Rio Grande;Argentina;-32,034;-60,64;500,000 MT;Vegetable Oil
Bunge Ramallo;Crushing Plant;Ramallo;Argentina;-33,484;-60,008;500,000 MT;Vegetable Oil
Bunge San Jeronimo Sud;Crushing Plant, Refinery;San Jeronimo Sud;Argentina;-32,93;-61,053;500,000 MT;Vegetable Oil
Bunge Puerto San Martin;Crushing Plant, Refinery;Puerto San Martin;Argentina;-32,716;-60,738;500,000 MT;Vegetable Oil
Bunge Tancacha;Crushing Plant;Tancacha;Argentina;-32,772;-63,936;500,000 MT;Vegetable Oil
Cargill Regina;Refinery;Regina, Sk;Canada;50,445;-104,618;1,000,000 MT;RSO
Cargill Camrose;Refinery;Camrose, Ab;Canada;53,017;-112,835;500,000 MT;RSO
Cargill Clavet;Refinery;Clavet, Sk;Canada;52,037;-106,34;500,000 MT;RSO
Cofco International Standerton;Crushing Plant;Standerton;South Africa;-26,94;29,241;500,000 MT;Vegetable Oil
Daudruy Dunkerque;Refinery;Dunkerque;France;51,037;2,377;450,000 MT;Vegetable Oil
Exoil Trading Ukraine;Crushing Plant;Cernechuy Yar;Ukraine;49,233;31,483;300,000 MT;Vegetable Oil
Lipsa Barcelona;Refinery;Barcelona;Spain;41,342;2,154;700,000 MT;Vegetable Oil
Lipsa Frontera;Refinery;Frontera;Spain;36,8;-6,343;700,000 MT;CPO, SBO, SFO, RSO
Mestilla Klaipeda;Crushing Plant, Refinery;Klaipeda;Lithuania;55,675;21,144;250,000 MT;Vegetable Oil
Neste Rotterdam;Refinery;Rotterdam;Netherlands;51,885;4,286;1,000,000 MT;Vegetable Oil
O&L Sels Gmbh Neuss;Refinery;Neuss;Germany;51,2048;6,697;300,000 MT;RSO
O&L Sels Gmbh Dusseldorf;Refinery;Düsseldorf;Germany;51,238;6,814;300,000 MT;RSO
Olam Nigeria;Crushing Plant, Refinery;Lagos;Nigeria;6,465;3,406;200,000 MT;CPO
Olenex Rotterdam;Refinery;Rotterdam;Netherlands;51,92;4,479;500,000 MT;Vegetable Oil
Oliyar Stavchany;Crushing Plant;Stavchany;Ukraine;49,841;23,985;1,050,000 MT;SBO, SFO, RSO
Oliyar Stavchany;Refinery;Stavchany;Ukraine;49,841;23,985;1,050,000 MT;SBO, SFO, RSO
Poweroil Rostock;Crushing Plant, Refinery;Rostock;Germany;54,093;12,099;1,000,000 MT;RSO
Provence Huiles Beziers;Crushing Plant;Béziers;France;43,347;3,215;100,000 MT;SBO, SFO, RSO
Provence Huiles Vitrolles;Refinery;Vitrolles;France;43,455;5,248;100,000 MT;SBO, SFO, RSO
Richardson Yorkton;Crushing Plant;Yorkton, Sk;Canada;51,217;-102,473;500,000 MT;Vegetable Oil
Rieckermann Hamburg;Refinery;Hamburg;Germany;53,551;9,994;100,000 MT;Vegetable Oil
Saipol Grand-Couronne;Crushing Plant, Refinery;Grand-Couronne;France;49,4;1,033;1,000,000 MT;RSO
Saipol Le Meriot;Crushing Plant, Refinery;Le Mériot;France;48,521;3,593;500,000 MT;RSO
Saipol Bassens;Crushing Plant, Refinery;Bassens;France;44,89;-0,535;700,000 MT;RSO, SFO
Saipol Lezoux;Crushing Plant;Lezoux;France;45,845;3,383;150,000 MT;SFO
Saipol Sète;Crushing Plant, Refinery;Sète;France;43,403;3,708;600,000 MT;RSO
Scanola Baltic Paunküla;Crushing Plant, Refinery;Paunküla;Estonia;58,893;25,339;60,000 MT;RSO
Sime Darby Rotterdam;Refinery;Rotterdam;Netherlands;51,887;4,29;500,000 MT;Vegetable Oil
Sime Darby Liverpool;Refinery;Liverpool;United Kingdom;53,4;-2,995;500,000 MT;Vegetable Oil
Sime Darby Zwijndrecht;Refinery;Zwijndrecht;Netherlands;51,829;4,633;500,000 MT;Vegetable Oil
Sime Darby Singapore;Refinery;Singapore;Singapore;1,283;103,833;300,000 MT;Vegetable Oil
Sime Darby Boksburg;Refinery;Boksburg;South Africa;-26,213;28,259;180,000 MT;Vegetable Oil
Sime Darby Bougainville;Refinery;Bougainville;Papua New Guinea;-6,228;155,565;60,000 MT;CNO
Sime Darby Port Moresby;Refinery;Port Moresby;Papua New Guinea;-9,478;147,15;60,000 MT;Vegetable Oil
Sovena Andujar;Crushing Plant, Refinery;Andújar;Spain;38,039;-3,775;260,000 MT;SFO
Sovena Brenes;Refinery;Brenes;Spain;37,575;-5,9;200,000 MT;SFO
Sovena Olmedo;Crushing Plant, Refinery;Olmedo;Spain;41,293;-4,688;160,000 MT;SFO, RSO
Thywissen Neuss;Refinery;Neuss;Germany;51,2048;6,685;300,000 MT;Vegetable Oil
Ukroliya Cernechuy Yar;Crushing Plant, Refinery;Cernechuy Yar;Ukraine;49,833;34,583;61,000 MT;SFO
Ukroliya Cernechuy Yar;Crushing Plant, Refinery;Cernechuy Yar;Ukraine;49,833;34,583;7,000 MT;SFO BIO
Upfield Slaskie;Refinery;Katowice;Poland;50,27;19,039;150,000 MT;Vegetable Oil
Van Damme Deinze;Crushing Plant, Refinery;Deinze;Belgium;50,981;3,534;100,000 MT;SFO
Viterra Ústí Nad Labem;Crushing Plant;Ústí Nad Labem;Czech Republic;50,66;14,04;120,000 MT;Vegetable Oil
Viterra Magdeburg;Refinery;Magdeburg;Germany;52,131;11,639;300,000 MT;Vegetable Oil
Viterra Lubmin;Crushing Plant;Lubmin;Germany;54,136;13,592;100,000 MT;Vegetable Oil
Viterra Bodaczow;Crushing Plant;Bodaczów;Poland;50,724;23,045;100,000 MT;Vegetable Oil
Viterra Ste. Agathe, Mb;Refinery;Ste. Agathe, Mb;Canada;49,688;-97,147;350,000 MT;RSO
Viterra Warden, Wa;Refinery;Warden, Wa;United States;46,967;-119,04;350,000 MT;RSO
Viterra Renova;Refinery;Timbúes;Argentina;-32,667;-60,8;10,000,000 MT;SBO
Adm Decatur, Il;Crushing Plant, Refinery;Decatur, Il;United States;39,855;-88,928;2,000,000 MT;SBO
Louis Dreyfus Company Claypool, In;Crushing Plant, Refinery;Claypool, In;United States;41,114;-85,884;1,300,000 MT;SBO
Louis Dreyfus Company Yorkton, Sk (Ldc);Crushing Plant;Yorkton, Sk;Canada;51,217;-102,467;1,000,000 MT;RSO
Louis Dreyfus Company Brest;Crushing Plant, Refinery;Brest;France;48,38;-4,49;600,000 MT;RSO
Wilmar International Brake;Refinery;Brake;Germany;53,327;8,486;300,000 MT;CPO, PKO
Wilmar International Tema;Refinery;Tema;Ghana;5,67;0,02;200,000 MT;CPO
Chs Mankato, Mn;Crushing Plant, Refinery;Mankato, Mn;United States;44,163;-94,009;700,000 MT;SBO
Chs Hallock, Mn;Crushing Plant;Hallock, Mn;United States;48,77;-96,94;300,000 MT;RSO
Ag Processing Inc Hastings, Ne;Crushing Plant;Hastings, Ne;United States;40,586;-98,389;500,000 MT;SBO
Perdue Agribusiness Salisbury, Md;Crushing Plant, Refinery;Salisbury, Md;United States;38,365;-75,599;250,000 MT;SBO
Oliyar Stavchany (Alt);Crushing Plant;Stavchany;Ukraine;49,841;24,485;1,050,000 MT;SBO, SFO, RSO
Oliyar Stavchany (Alt);Refinery;Stavchany;Ukraine;49,841;24,485;1,050,000 MT;SBO, SFO, RSO
